"COUNTRY","CODE","Domestic_2000","Domestic_yr_2000","Industry_2000","Industry_yr_2000","Agricultur_2000","Agricultur_yr_2000","withdrawal_2000","withdrawal_yr_2000","Resources_2000","Resources_yr_2000","Domestic_2010","Domestic_yr_2010","Industry_2010","Industry_yr_2010","Agricultur_2010","Agricultur_yr_2010","withdrawal_2010","withdrawal_yr_2010","Resources_2010","Resources_yr_2010","Domestic_2021","Domestic_yr_2021","Industry_2021","Industry_yr_2021","Agricultur_2021","Agricultur_yr_2021","withdrawal_2021","withdrawal_yr_2021","Resources_2021","Resources_yr_2021","F1_2000","F2_2000","F1_2010","F2_2010","F1_2021","F2_2021"
"Egypt","EGY",5.3,2000,4,2000,59,2000,68.3,2000,57.5,2000,9,2010,2,2010,67,2010,78,2010,57.5,2010,10.75,2021,5.4,2021,61.35,2021,77.5,2021,57.5,2021,1.43524260051249,-0.0256300929280538,1.32151132294907,-0.066012845744444,1.43324568710893,-0.0126516555031625
"Equatorial Guinea","EQG",0.0138,2000,0.0026,2000,0.001,2000,0.0174,2000,26,2000,0.0158,2010,0.003,2010,0.001,2010,0.0198,2010,26,2010,0.0158,2021,0.003,2021,0.001,2021,0.0198,2021,26,2021,-0.0891667168766223,-0.0576987383322042,-0.0945895798815267,-0.0563499766215097,-0.0856220070887621,-0.0580885945208359
"Eritrea","ERI",0.0617,2000,0.0617,2000,0.29,2000,0.4134,2000,7.315,2000,0.031,2010,0.001,2010,0.55,2010,0.582,2010,7.315,2010,0.031,2021,0.001,2021,0.55,2021,0.582,2021,7.315,2021,-0.074354959527576,-0.0695619541978518,-0.089771603440516,-0.0690194064495912,-0.079867434883362,-0.0703592533062483
"Ethiopia","ETH",0.333,2002,0.021,2002,5.204,2002,5.558,2002,122,2000,0.81,2010,0.0511,2010,8.221363636,2010,9.082463636,2010,122,2010,0.81,2021,0.0511,2021,9.687,2021,10.5481,2021,122,2021,-0.0132758402675617,0.0039465474793869,0.0252459752607228,-0.00134980650561111,0.0428788592660105,0.00345899609606028
"Gambia","GAM",0.0339,2000,0.0174,2000,0.0392,2000,0.0905,2000,8,2000,0.0412,2010,0.0212,2010,0.0392,2010,0.1016,2010,8,2010,0.0412,2021,0.0212,2021,0.0392,2021,0.1016,2021,8,2021,-0.0850432133591298,-0.0692903481236134,-0.0895062685222491,-0.0677226625870797,-0.0823172666115051,-0.0696735211246784
"Ghana","GHA",0.235,2000,0.095,2000,0.652,2000,0.982,2000,56.2,2000,0.245,2010,0.095,2010,0.91325,2010,1.25325,2010,56.2,2010,0.2996,2021,0.095,2021,1.07,2021,1.4646,2021,56.2,2021,-0.0529619412506237,-0.0372781019296906,-0.0570396523813809,-0.036046262755245,-0.0550312175196724,-0.0378120579830406
"Guinea","GIN",0.2083,2000,0.0521,2000,0.317978571,2000,0.578378571,2000,226,2000,0.2268,2010,0.057661539,2010,0.455482353,2010,0.739943891,2010,226,2010,0.23,2021,0.06,2021,0.6,2021,0.89,2021,226,2021,-0.0653171094574737,0.0729218450732147,-0.0681388890254586,0.0737132724771743,-0.0676510935206604,0.0723539709211676
"Guinea-Bissau","GUB",0.023,2000,0.008,2000,0.144,2000,0.175,2000,31.4,2000,0.0341,2010,0.0119,2010,0.144,2010,0.19,2010,31.4,2010,0.0341,2021,0.0119,2021,0.144,2021,0.19,2021,31.4,2021,-0.0863886388355533,-0.0541893054080428,-0.0907239854342666,-0.0528317924611232,-0.082777558301872,-0.0545503398528602
"Kenya","KEN",0.454538462,2000,0.095384615,2000,1.01,2000,1.559923077,2000,30.7,2000,1.186,2010,0.125,2010,1.907,2010,3.218,2010,30.7,2010,0.495,2021,0.303,2021,3.234,2021,4.032,2021,30.7,2021,-0.0319850935009037,-0.0533242598972904,0.00903974992060238,-0.0531957452478314,-0.0084919536271164,-0.0538733129235688
"Lesotho","LES",0.02,2000,0.02,2000,0.0038,2000,0.0438,2000,3.022,2000,0.02,2010,0.02,2010,0.0038,2010,0.0438,2010,3.022,2010,0.02,2021,0.02,2021,0.0038,2021,0.0438,2021,3.022,2021,-0.0860817222092513,-0.0725435388368702,-0.0912185363547242,-0.070930173543694,-0.0836962346451323,-0.0729510870763247
"Liberia","LIB",0.0711,2000,0.0474,2000,0.0123,2000,0.1308,2000,232,2000,0.0802,2010,0.0534,2010,0.0123,2010,0.1459,2010,232,2010,0.0802,2021,0.0534,2021,0.0123,2021,0.1459,2021,232,2021,-0.0797424880813773,0.0765030034206062,-0.080667005985819,0.077981867817135,-0.0807988799908078,0.0760484545650162
"Libya","LAJ",0.61,2000,0.132,2000,3.584,2000,4.326,2000,0.7,2000,0.696162077,2010,0.242448187,2010,4.616818308,2010,5.555428571,2010,0.7,2010,0.7,2021,0.28,2021,4.85,2021,5.83,2021,0.7,2021,0.00970914856142239,-0.0730802169751288,0.0254630429256505,-0.0729776143105544,0.0144389132942304,-0.073427870501469
"Madagascar","MAD",0.2388,2000,0.1308,2000,13,2000,13.3696,2000,337,2000,0.395,2010,0.1619,2010,13,2010,13.5569,2010,337,2010,0.395,2021,0.1619,2021,13,2021,13.5569,2021,337,2021,0.0659667623823993,0.141204090326452,0.0621276451970403,0.135456659784293,0.0592969978686486,0.141530334229218
"Malawi","MAA",0.1196,2000,0.0399,2000,1.07675,2000,1.23625,2000,17.28,2000,0.1431,2010,0.0477,2010,1.166,2010,1.3568,2010,17.28,2010,0.1431,2021,0.0477,2021,1.166,2021,1.3568,2021,17.28,2021,-0.0654876355573872,-0.0632675250419802,-0.0697379334092941,-0.0623337218627425,-0.0651507275390388,-0.0636491858129143
"Mali","MAL",0.081736842,2000,0.007157895,2000,4.737,2000,4.825894737,2000,120,2000,0.107,2010,0.004,2010,5.075,2010,5.186,2010,120,2010,0.107,2021,0.004,2021,5.075,2021,5.186,2021,120,2021,-0.0394599015704139,0.0020132625948286,-0.0481699481236472,-0.000319964763968119,-0.0365189892756786,0.00169973295237583
"Mauritania","MAU",0.0759,2000,0.0253,2000,1.5,2000,1.6012,2000,11.4,2000,0.0954,2010,0.0318,2010,1.223,2010,1.3502,2010,11.4,2010,0.0954,2021,0.0318,2021,1.223,2021,1.3502,2021,11.4,2021,-0.0669679330101801,-0.0674160693590279,-0.0749556698151614,-0.0664743106327279,-0.0681824554888285,-0.0676507610710651
"Morocco","MOR",1.237,2000,0.36,2000,11.01,2000,12.61,2000,29,2000,1.063,2010,0.212,2010,9.156,2010,10.431,2010,29,2010,1.063,2021,0.212,2021,9.156,2021,10.431,2021,29,2021,0.160285861010915,-0.054437255743458,0.0768155841606176,-0.0596308600487023,0.0648010917413491,-0.0556747911156964
"Mozambique","MOZ",0.1699,2000,0.0243,2000,0.676363636,2000,0.870563636,2000,217.1,2000,0.31285,2010,0.0306,2010,0.938142857,2010,1.281592857,2010,217.1,2010,0.372,2021,0.025,2021,1.076,2021,1.473,2021,217.1,2021,-0.0687912061785075,0.0667956240638303,-0.0645774459788732,0.0669746101783561,-0.0593055649716701,0.0666541774017497
"Namibia","NAM",0.073,2000,0.014,2000,0.213,2000,0.3,2000,39.91,2000,0.0648095,2010,0.01571,2010,0.201,2010,0.2815195,2010,39.91,2010,0.06156818,2021,0.01861,2021,0.201,2021,0.12901,2021,39.91,2021,-0.0810089881900555,-0.0485124467805365,-0.0878031563702038,-0.0473119075326647,-0.080488005427961,-0.0489518124902948
"Niger","NIG",0.2554,2000,0.0284,2000,0.584,2000,0.8678,2000,34.05,2000,0.128185714,2010,0.019128571,2010,1.027333333,2010,1.174647619,2010,34.05,2010,0.193247,2021,0.0386538,2021,2.351407,2021,2.5833078,2021,34.05,2021,-0.0610486957585112,-0.0518537033300648,-0.0769992136956989,-0.0518522005107017,-0.0529947805157478,-0.0530151424094474
"Nigeria","NIR",3.242,2000,1.554,2000,5.51,2000,10.306,2000,286.2,2000,5,2010,1.965,2010,5.51,2010,12.475,2010,286.2,2010,5,2021,1.965,2021,5.51,2021,12.475,2021,286.2,2021,0.431170302003175,0.125149358185834,0.598047846959535,0.141327686741682,0.364019021315583,0.127538646558504
"Rwanda","RWA",0.036,2000,0.012,2000,0.102,2000,0.15,2000,13.3,2000,0.121614286,2010,0.01675,2010,0.237789474,2010,0.376153759,2010,13.3,2010,0.23,2021,0.01,2021,0.361,2021,0.61,2021,13.3,2021,-0.0850729904727725,-0.0658827559378549,-0.0842375639510584,-0.0645793495101243,-0.0713084166512466,-0.0659145196511407
"Senegal","SEN",0.1,2000,0.06,2000,1.43,2000,1.59,2000,38.97,2000,0.190426667,2010,0.027986059,2010,2.138954933,2010,2.357367659,2010,38.97,2010,0.261,2021,0.001415764,2021,2.7586822,2021,3.021097964,2021,38.97,2021,-0.0611006593449506,-0.0492689946438634,-0.0629022300720963,-0.0495836147802781,-0.0492064870996501,-0.0499000893638492
"Sierra Leone","SIL",0.0955,2000,0.0477,2000,0.0457,2000,0.1889,2000,160,2000,0.111,2010,0.0555,2010,0.0457,2010,0.2122,2010,160,2010,0.111,2021,0.0555,2021,0.0457,2021,0.2122,2021,160,2021,-0.0769573003940017,0.0297784700632591,-0.0785474054196573,0.0313400650323657,-0.0779408684752922,0.0293453033486598
"Somalia","SOM",0.01,2000,0,2000,3.28,2000,3.29,2000,14.7,2000,0.015,2010,0.002,2010,3.281,2010,3.298,2010,14.7,2010,0.015,2021,0.002,2021,3.281,2021,3.298,2021,14.7,2021,-0.0590489260530943,-0.0661614030386679,-0.0684923571771609,-0.0668284990200321,-0.0559988214682719,-0.0664016175271118
"South Africa","SOU",3.904,2000,1.052,2000,7.836,2000,12.792,2000,51.35,2000,4.120153846,2010,1.492769231,2010,9.262153846,2010,14.87507692,2010,51.35,2010,3.418,2021,4.164,2021,12.022,2021,19.604,2021,51.35,2021,0.437532934853632,-0.0282963666514424,0.489390706863947,-0.0227528392378132,0.53206135509192,-0.0235148206382709
"Eswatini","SWA",0.024,2000,0.012,2000,1.006,2000,1.042,2000,4.51,2000,0.0413,2010,0.0207,2010,1.006,2010,1.068,2010,4.51,2010,0.0413,2021,0.0207,2021,1.006,2021,1.068,2021,4.51,2021,-0.077499086304737,-0.0719324690767404,-0.0818343992900419,-0.0709182368454714,-0.0735845228607987,-0.0722271668142706
"United Republic of Tanzania","TAN",0.500375,2000,0.0249375,2000,3.734,2000,4.2593125,2000,96.27,2000,0.527,2010,0.025,2010,4.632,2010,5.184,2010,96.27,2010,0.527,2021,0.025,2021,4.632,2021,5.184,2021,96.27,2021,-0.0130540824794778,-0.0117751832278825,-0.0244179212030432,-0.0149866583986375,-0.018233026371233,-0.0125213902060348
"Togo","TOG",0.0846,2000,0.005066667,2000,0.08,2000,0.169666667,2000,14.7,2000,0.1407,2010,0.0063,2010,0.076,2010,0.223,2010,14.7,2010,0.1407,2021,0.0063,2021,0.076,2021,0.223,2021,14.7,2021,-0.0823975430182879,-0.0648510591968232,-0.0864335557118191,-0.0637115880008833,-0.0785098066045042,-0.0651447226903473
"Tunisia","TUN",0.365,2000,0.11,2000,2.165,2000,2.64,2000,4.615,2000,0.485803409,2010,0.160375,2010,2.613321591,2010,3.2595,2010,4.615,2010,0.8155,2021,0.0619,2021,2.71,2021,3.5874,2021,4.615,2021,-0.0260622476123488,-0.0708651268524613,-0.017816154354081,-0.069961686216762,-0.0174673944348341,-0.0706920839920924
"Uganda","UGA",0.1514,2000,0.0582,2000,0.12,2000,0.3296,2000,60.1,2000,0.328,2010,0.05,2010,0.259,2010,0.637,2010,60.1,2010,0.328,2021,0.05,2021,0.259,2021,0.637,2021,60.1,2021,-0.0696884044022989,-0.0349565870463449,-0.066117185957638,-0.0337292779120772,-0.0647672547265631,-0.0351190351926032
"Zambia","ZAM",0.29,2000,0.13,2000,1.1935,2000,1.6135,2000,104.8,2000,0.29,2010,0.13,2010,1.152,2010,1.572,2010,104.8,2010,0.29,2021,0.13,2021,1.152,2021,1.572,2021,104.8,2021,-0.0390246850943912,-0.0055788937068929,-0.0458451236080144,-0.00416840135165135,-0.0524534712049853,-0.00617281912531335
"Zimbabwe","ZIM",0.533266667,2000,0.2696,2000,3.004133333,2000,3.807,2000,20,2000,0.5023625,2010,0.1649,2010,2.837375,2010,3.5046375,2010,20,2010,0.547078,2021,0.081352,2021,4.281249395,2021,4.909679395,2021,20,2021,0.0171147494320356,-0.0600219412307461,-0.0141825809695771,-0.0601318979197651,-0.0148009417277009,-0.0617334422958847
"Gabon","GAB",0.0686,2000,0.0114,2000,0.0403,2000,0.1203,2000,166,2000,0.0847,2010,0.0141,2010,0.0403,2010,0.1391,2010,166,2010,0.0847,2021,0.0141,2021,0.0403,2021,0.1391,2021,166,2021,-0.0842058754358393,0.0334560330180177,-0.0878257725675722,0.034487376547707,-0.0827697812530335,0.0330471440025909
