ID,CODE,COUNTRY,Year,Domestic,Industry,Agricultur,Population,Resources,withdrawal,perCapitaW,perCapitaR
1,ALG,Algeria,2000,37.66227300000,22.60537300000,111.09193500000,35.42258900000,11.60000000000,6.07000000000,171.35958100000,0.32747500000
2,ANG,Angola,2000,4.23846900000,3.13278100000,11.05687600000,18.99270700000,184.00000000000,0.35000000000,18.42812600000,9.68792900000
20,BEN,Benin,2001,4.51597600000,3.24585800000,6.35059100000,9.21174100000,25.80000000000,0.13000000000,14.11242500000,2.80077300000
21,BOT,Botswana,2000,39.39179900000,17.29396000000,39.39179900000,1.97756900000,14.70000000000,0.19000000000,96.07755800000,7.43336900000
22,BUF,Burkina Faso,2000,6.38557600000,0.49119800000,42.24304200000,16.28670600000,17.50000000000,0.80000000000,49.11981600000,1.07449600000
23,BUR,Burundi,2000,5.75793500000,2.04252600000,26.21242100000,8.51886200000,3.60000000000,0.29000000000,34.04210600000,0.42259200000
24,CAM,Cameroon,2000,8.98334100000,3.99248700000,36.62746900000,19.95835100000,285.50000000000,0.99000000000,49.60329600000,14.30478900000
27,CAP,Cape Verde,2000,2.73127000000,0.78036300000,35.50651400000,0.51258200000,0.30000000000,0.02000000000,39.01814700000,0.58527200000
42,CAR,Central African Republic,2000,5.32629700000,1.06525900000,0.29914200000,4.50594500000,144.40000000000,0.03000000000,6.65787100000,32.04655200000
43,CHA,Chad,2000,3.39818900000,0.00000000000,16.59115600000,11.50613000000,43.00000000000,0.23000000000,19.98934500000,3.73713800000
44,COM,Comoros,1999,6.94292800000,0.72322200000,6.79828300000,0.69135100000,1.20000000000,0.01000000000,14.46443300000,1.73573200000
48,CNG,Congo,2000,4.73056900000,2.31464400000,0.95778400000,3.75867800000,1283.00000000000,0.03000000000,7.98153000000,341.34341900000
49,CDI,Cote d`Ivoire,2000,10.34734700000,5.09479700000,27.98665300000,21.57074600000,81.00000000000,0.93000000000,43.11394700000,3.75508600000
51,ZAI,Democratic Republic of the Congo,2000,2.81301900000,0.90228900000,1.67009800000,67.82749500000,832.00000000000,0.36000000000,5.30758200000,12.26641200000
64,DJI,Djibouti,2000,19.11147600000,0.00000000000,3.64028100000,0.87905300000,0.30000000000,0.02000000000,22.75175700000,0.34127600000
65,EGY,Egypt,2000,61.58198200000,48.51172300000,695.33469600000,84.47442700000,58.30000000000,68.30000000000,808.52871600000,0.69015000000
166,EQG,Equatorial Guinea,2000,131.69872500000,25.44215600000,1.50114300000,0.69338500000,26.00000000000,0.11000000000,158.64202400000,37.49720600000
171,ERI,Eritrea,2004,5.93364400000,0.19140100000,105.28151400000,5.22399400000,6.30000000000,0.58200000000,111.40901000000,1.20597400000
